,leveringsrichting,postcode_tot,postcode_van,sjv,soort
280,100,1011LM,1011LM,1050,GAS
281,100,1011LM,1011LM,3183,ELK
282,100,1011LP,1011LN,2341,ELK
283,100,1011LP,1011LN,1341,GAS
284,100,1011LR,1011LR,1116,GAS
285,100,1011LR,1011LR,2031,ELK
286,100,1011LS,1011LS,1393,ELK
287,100,1011LS,1011LS,1436,GAS
288,100,1011LT,1011LT,1698,ELK
289,100,1011LT,1011LT,754,GAS
290,100,1011LV,1011LV,992,GAS
291,100,1011LV,1011LV,1961,ELK
292,100,1011LW,1011LW,898,GAS
293,100,1011LW,1011LW,1861,ELK
294,100,1011LX,1011LX,10302,ELK
295,100,1011LZ,1011LX,1366,GAS
296,100,1011LZ,1011LZ,3772,ELK
297,100,1011MB,1011MA,2446,ELK
298,100,1011MB,1011MA,779,GAS
299,100,1011MG,1011MC,3411,ELK
300,100,1011MX,1011MC,833,GAS
301,100,1011MH,1011MH,3582,ELK
302,100,1011MJ,1011MJ,7075,ELK
303,100,1011MK,1011MK,2253,ELK
304,100,1011ML,1011ML,2419,ELK
305,"98,46",1011MN,1011MN,2913,ELK
306,100,1011MP,1011MP,2666,ELK
307,100,1011MR,1011MR,2786,ELK
308,100,1011MT,1011MT,2911,ELK
309,100,1011MV,1011MV,2156,ELK
310,100,1011MX,1011MX,2308,ELK
311,100,1011MZ,1011MZ,715,GAS
312,100,1011MZ,1011MZ,3197,ELK
313,100,1011NA,1011NA,4245,ELK
314,100,1011NA,1011NA,1131,GAS
315,100,1011NB,1011NB,4780,ELK
316,100,1011NB,1011NB,874,GAS
317,100,1011NC,1011NC,3389,ELK
318,100,1011NC,1011NC,815,GAS
319,100,1011ND,1011ND,5508,ELK
320,100,1011ND,1011ND,724,GAS
321,100,1011NK,1011NE,4072,GAS
322,100,1011NK,1011NE,13412,ELK
323,100,1011NS,1011NM,6100,ELK
324,100,1011NS,1011NM,1193,GAS
325,100,1011NV,1011NV,1741,GAS
326,100,1011NV,1011NV,4208,ELK
327,100,1011PB,1011NX,871,GAS
328,100,1011PB,1011NX,2734,ELK
329,100,1011PG,1011PC,1169,GAS
330,"99,44",1011PG,1011PC,6389,ELK
331,100,1011PL,1011PL,1754,ELK
332,100,1011PL,1011PL,903,GAS
333,100,1011PM,1011PM,2562,GAS
334,100,1011PM,1011PM,4018,ELK
335,100,1011PN,1011PN,11964,ELK
336,100,1011PT,1011PT,1548,GAS
337,100,1011PT,1011PT,4892,ELK
338,100,1011PV,1011PV,2142,ELK
339,100,1011PW,1011PV,1212,GAS
340,100,1011PW,1011PW,3747,ELK
341,100,1011RA,1011PX,1460,GAS
342,100,1011PX,1011PX,4530,ELK
343,100,1011PZ,1011PZ,9924,ELK
345,100,1011RA,1011RA,2496,ELK
346,100,1011RC,1011RB,5604,ELK
347,100,1011RC,1011RB,1713,GAS
348,100,1011RD,1011RD,20072,ELK
349,100,1011RE,1011RD,5080,GAS
350,100,1011RE,1011RE,1903,ELK
351,100,1011RG,1011RG,1476,ELK
352,100,1011RG,1011RG,866,GAS
