ZAAKNAAM,ADRES,OPENINGSTIJDEN_ZO_DO_VAN,OPENINGSTIJDEN_ZO_DO_TOT,OPENINGSTIJDEN_VR_ZA_VAN,OPENINGSTIJDEN_VR_ZA_TOT,LOCATIE_WKT
Bar Basquiat,Javastraat 88-H,07:00,01:00,07:00,03:00,POINT (4.93598004125485 52.363613948545)
New York Pizza Delivery,Hoekenrode 12,07:00,01:00,07:00,03:00,POINT (4.94837160152588 52.3115233444169)
Las Estrellas BV,Kerkstraat 45,07:00,01:00,07:00,03:00,POINT (4.88578071241835 52.3652996260203)
Hangar Amsterdam BV,Aambeeldstraat 36,07:00,01:00,07:00,03:00,POINT (4.93092875220494 52.3837177067161)
Anne & Max,Tollensstraat 57Y,07:00,01:00,07:00,03:00,POINT (4.86906583305351 52.3671600811555)
Ivy & Bros,Oudezijds Voorburgwal 96A,10:00,22:00,10:00,22:00,POINT (4.89749444595693 52.3735003152906)
Burgerzaken,Oudezijds Voorburgwal 222D,07:00,01:00,07:00,03:00,POINT (4.89614008165138 52.3724791193935)
De Zon,Nieuwmarkt 2,07:00,01:00,07:00,03:00,POINT (4.90034674870497 52.3731795227903)
Café Cuba B.V.,Nieuwmarkt 3-H,07:00,01:00,07:00,03:00,POINT (4.90107195539646 52.3726612203935)
"Restaurant-Café ""In de Waag"";""Nieuwmarkt 4",Café,07:00,01:00,07:00,03:00,POINT (4.90021981822229 52.372702661047)
Stichting Theatrum Vitae,Nes 116,00:00,00:00,00:00,00:00,POINT (4.89327742451884 52.3697709587818)
Best Friends Oost BV,Niasstraat 1-H,07:00,01:00,07:00,01:00,POINT (4.93975270024369 52.365111196364)
The Hard Rock Café,Max Euweplein 57,07:00,01:00,07:00,03:00,POINT (4.88293954027198 52.362087993597)
Taj Indian Restaurant,Marie Heinekenplein 1,07:00,01:00,07:00,03:00,POINT (4.891036981059 52.3573946896946)
Kopjes,Marco Polostraat 211,07:00,01:00,07:00,03:00,POINT (4.85534199079678 52.3704876301063)
Exploitatiemts.Marie Heinekenplein B.V.,Marie Heinekenplein 33,10:00,01:00,10:00,03:00,POINT (4.89170382592604 52.3568312605712)
W.Jun thodh Coffee Company Jun,Middenweg 32-H,07:00,01:00,07:00,03:00,POINT (4.92938127538723 52.3543134714214)
NEVA,Nieuwe Keizersgracht 1A,07:00,01:00,07:00,03:00,POINT (4.90425158479635 52.3651875758091)
Not For Sale Retail B.V.,Nieuwe Herengracht 18A,07:00,01:00,07:00,03:00,POINT (4.90457036965607 52.3655753396613)
Bern,Nieuwmarkt 9A,07:00,01:00,07:00,03:00,POINT (4.90097074494981 52.3725170044564)
Stichting de La Mar Theater,Marnixstraat 402,00:00,00:00,00:00,00:00,POINT (4.88087300518311 52.3643620325402)
Café Lux B.V.,Marnixstraat 403-H,09:00,03:00,09:00,04:00,POINT (4.88072066490273 52.3648467114411)
Rogh,Vijzelgracht 35,07:00,01:00,07:00,03:00,POINT (4.89151142609557 52.3609198110445)
P. King,Vijzelstraat 28-H,07:00,01:00,07:00,03:00,POINT (4.8926941001133 52.3654544923668)
Regular&Jack,Vijzelstraat 37,07:00,01:00,07:00,03:00,POINT (4.89333257646085 52.3661312222268)
Feijoa,Vijzelstraat 39,07:00,01:00,07:00,03:00,POINT (4.8933049123972 52.36597831819)
Ciro Passami L'Olio,Tweede Helmersstraat 3,07:00,01:00,07:00,03:00,POINT (4.87828342871552 52.3648542487395)
Sphinx 5,Oostenburgergracht 71,07:00,03:00,07:00,04:00,POINT (4.92315658386311 52.3684806347663)
Friet Point,Oudezijds Voorburgwal 208,07:00,03:00,07:00,04:00,POINT (4.89649000226566 52.372705257188)
Our Corner VOF,Zeedijk 21,07:00,01:00,07:00,03:00,POINT (4.90075881185713 52.3757786166096)
Brasserie van Noordt/Bruis,Van Noordtstraat 28,07:00,01:00,07:00,03:00,POINT (4.87978130559581 52.3892439143856)
café de Sting,Van Hallstraat 97,07:00,01:00,07:00,03:00,POINT (4.87120287928743 52.3816304009771)
Restaurant Libero,Vrijheidslaan 77H,07:00,01:00,07:00,03:00,POINT (4.90646915980893 52.3461339070069)
Hollandse Manege,Vondelstraat 140-H,07:00,01:00,07:00,03:00,POINT (4.87226490616574 52.3609725804683)
Groot Melkhuis,Vondelpark 2,07:00,01:00,07:00,03:00,POINT (4.86843250060996 52.3585292174587)
Vondelpark 3 B.V.,Vondelpark 3,07:00,01:00,07:00,03:00,POINT (4.87497991043433 52.3610472563894)
Bibob Ergo Sum B.V./ Het Blauwe Theehuis,Vondelpark 5,07:00,00:00,07:00,01:00,POINT (4.87258285612244 52.3588708622855)
Stichting Bso Kinderkookkafe Vondelpark,Vondelpark 6B,10:00,22:00,10:00,22:00,POINT (4.86478412917847 52.3591962529126)
Bar-Restaurant Maria V.O.F.,Zeedijk 55,07:00,01:00,07:00,03:00,POINT (4.9011194058071 52.3750341289147)
't Gat van Zuid,Waalstraat 103,07:00,01:00,07:00,03:00,POINT (4.90226521346721 52.3427194583786)
Coffee Company Waterlooplein 129 B.V.,Waterlooplein 129,07:00,03:00,07:00,04:00,POINT (4.90214416679121 52.368603234971)
Vuurtoreneiland,Vuurtoreneiland 3,07:00,01:00,07:00,03:00,POINT (5.01423043017046 52.372361241755)
Boutique Bars B.V.,Vinkenstraat 57-H,09:00,03:00,09:00,04:00,POINT (4.88691212733429 52.3821650715159)
Mi-Gudu Eethuis en Afhaalcentrum,Wijttenbachstraat 390,07:00,01:00,07:00,03:00,POINT (4.93006076023084 52.3610298122164)
Café Kale,Weteringschans 267,07:00,01:00,07:00,03:00,POINT (4.89744297461084 52.359524428084)
Eetcafé Het Capitool,Waterlandplein 324,07:00,01:00,07:00,03:00,POINT (4.95582166592196 52.3930859742284)
Foodbar 63 graden,Woestduinstraat 63,07:00,01:00,07:00,03:00,POINT (4.84800986181413 52.3527579011181)
Hotel not Hotel,Witte de Withstraat 38,07:00,01:00,07:00,03:00,POINT (4.85957684847163 52.3662733964997)
Coffee Company,Westerdok 808,07:00,03:00,07:00,04:00,POINT (4.89191611444439 52.3865090818063)
Biljartzaal Sloterdijk,Willem Leevendstraat 30,07:00,01:00,07:00,03:00,POINT (4.84613454534495 52.3838194863856)
De Bolle Hoed B.V. Ho Pizzeria La Strada,Weesperzijde 48,07:00,01:00,07:00,03:00,POINT (4.90768963429945 52.3554320327083)
Venkel Java,Javastraat 55-H,07:00,01:00,07:00,03:00,POINT (4.93376125318399 52.363803207767)
Gijs de Rooy,Javastraat 1-H,07:00,01:00,07:00,03:00,POINT (4.93163495467322 52.3635613781965)
Porto Marina 2,Johan Huizingalaan 192,07:00,01:00,07:00,03:00,POINT (4.82688692770012 52.3563898048261)
Clubhouse VOF,Kattenburgerstraat 5,07:00,01:00,07:00,03:00,POINT (4.91627924508682 52.371796883786)
Homeland restaurant,Kattenburgerstraat 5,07:00,01:00,07:00,03:00,POINT (4.91627924508682 52.371796883786)
La Madonnina,Rembrandtplein 14,07:00,01:00,07:00,03:00,POINT (4.8955089988021 52.365816716589)
Bakhuys,Sarphatistraat 59-H,07:00,01:00,07:00,03:00,POINT (4.90674793763757 52.3610724230765)
Snackcorner 't Vogeltje,Sassenheimstraat 52,11:00,01:00,11:00,01:00,POINT (4.84854408514656 52.3486439916698)
Bagels & Beans,Ruyschstraat 52-H,07:00,01:00,07:00,03:00,POINT (4.90985684263714 52.3572832364155)
Café 't Ruysje,Ruys de Beerenbrouckstraat 108,07:00,01:00,07:00,03:00,POINT (4.80486342645262 52.382545498322)
The African Blackstar,Rozengracht 1A,07:00,01:00,07:00,01:00,POINT (4.88257277060285 52.3736983831757)
Venezia Del Nord,Rozengracht 1,07:00,01:00,07:00,03:00,POINT (4.88264598558757 52.373716669898)
Broers Amsterdam,Rooseveltlaan 67,07:00,01:00,07:00,03:00,POINT (4.90086966735188 52.3441966970831)
Van Daele,Paleisstraat 101,07:00,01:00,07:00,03:00,POINT (4.89034062217891 52.3724100188832)
North Sea Jazz Club,Pazzanistraat 1,09:00,04:00,09:00,05:00,POINT (4.87426532636433 52.3860655599212)
De Jonge Admiraal,Javastraat 149-1,07:00,01:00,07:00,03:00,POINT (4.93829676090756 52.3639013592637)
Felix Meritis B.V.,Keizersgracht 324,07:00,00:00,07:00,03:00,POINT (4.88428885860693 52.3699848218335)
Ramses,Keizersgracht 324,07:00,01:00,07:00,03:00,POINT (4.88428885860693 52.3699848218335)
Ristorante Pizzeria Lago Maggiore,Javastraat 91-1,07:00,01:00,07:00,03:00,POINT (4.93518472843705 52.3638625699516)
Sportcafé de  Elzenhagen,J.H. Hisgenpad 1,07:00,01:00,07:00,03:00,POINT (4.92566384284418 52.4013128210901)
Bagels & Beans  Keizersgracht,Keizersgracht 504-H,07:00,03:00,07:00,04:00,POINT (4.88589136604021 52.3659022619299)
De Nieuwe Coenen,Joh.M. Coenenstraat 4,07:00,00:00,07:00,01:00,POINT (4.88153510313746 52.3526270529451)
La Place Food BV,Kalverstraat 203,07:00,22:00,07:00,22:00,POINT (4.89268637132185 52.3674676769254)
Primi,Van der Hoopstraat 96-H,07:00,01:00,07:00,03:00,POINT (4.87186080776065 52.3844194022438)
Bouillon Brothers,Haparandaweg 746,07:00,01:00,07:00,03:00,POINT (4.87730852200771 52.3947875985427)
Brasserie De Hoge Dijk B.V.,Abcouderstraatweg 46,07:00,01:00,07:00,03:00,POINT (4.95976551622717 52.2871005201662)
B.V. Amstel Hotel Mij,Prof. Tulpplein 1,07:00,01:00,07:00,03:00,POINT (4.90524772426507 52.3599788354599)
SPEELPARADIJS CANDY CASTLE,Erik de Roodestraat 14,07:00,01:00,07:00,03:00,POINT (4.84561951785279 52.3730590069083)
Spirit,Cruquiuskade 1,07:00,01:00,07:00,03:00,POINT (4.92589689808269 52.3675835872887)
Ela Palermo Méditerrané Eetcafé,Niasstraat 29,07:00,01:00,07:00,03:00,POINT (4.94141157448858 52.3651264342953)
Sphinx 3,Molenwijk 43,07:00,01:00,07:00,03:00,POINT (4.89320145139337 52.4175212880268)
KTV Bar,Nieuwebrugsteeg 26,07:00,01:00,07:00,03:00,POINT (4.89983141645675 52.3759815216991)
Faralda Exploitatie B.V.,NDSM-plein 78,07:00,01:00,07:00,03:00,POINT (4.8948285004479 52.3993913267783)
Seafood Restaurant B.V.,Nederhoven 17,07:00,01:00,07:00,03:00,POINT (4.88471806893463 52.3242486220462)
"Pizzeria ""San Remo"";""Mosveld 74",Restaurant,07:00,01:00,07:00,03:00,POINT (4.91402416286411 52.391884014672)
Fonteyn,Nieuwmarkt 13A,07:00,01:00,07:00,03:00,POINT (4.90089860680947 52.3723998703486)
At The Market,Nieuwmarkt 14-H,07:00,01:00,07:00,01:00,POINT (4.89983676417802 52.3728179252507)
Semhar,Marnixstraat 261,07:00,01:00,07:00,03:00,POINT (4.877339996706 52.3754195838023)
Snackbar De Meeuw,Meeuwenlaan 122-H,07:00,01:00,07:00,03:00,POINT (4.92340879024311 52.3865106105574)
Ponte Magro,Nieuwe Kerkstraat 4-H,07:00,01:00,07:00,03:00,POINT (4.9035043157313 52.3637015794365)
Hotel Brooklyn B.V.,NDSM-plein 30,07:00,01:00,07:00,03:00,POINT (4.8937103845539 52.4008426542582)
Café Kiebêrt,Marathonweg 2,07:00,01:00,07:00,03:00,POINT (4.86059641502282 52.3483835871348)
Ma Baker,Marnixstraat 359,07:00,03:00,07:00,04:00,POINT (4.87618385835675 52.3725206098826)
Elsa's,Middenweg 73,07:00,01:00,07:00,03:00,POINT (4.93191805617604 52.3531278952096)
Eetcafé Mosveld,Mosveld 47,07:00,01:00,07:00,03:00,POINT (4.91340439245205 52.390767089566)
Café Koffiehuis Blokker,Mosveld 49,07:00,01:00,07:00,03:00,POINT (4.91313902108528 52.3908559041008)
Café Old Wembley,Monnikenstraat 15-H,07:00,01:00,07:00,03:00,POINT (4.89964202998532 52.3731676392603)
Wok To Go Nieuwendijk,Nieuwendijk 1,07:00,01:00,07:00,03:00,POINT (4.89480616303842 52.3788906992318)
Café Al-Dente,Nieuwendijk 2,07:00,01:00,07:00,03:00,POINT (4.89464581797527 52.3787821827102)
Meram Osdorp,Meer en Vaart 175,07:00,01:00,07:00,03:00,POINT (4.80810700067905 52.3602001889879)
Coffeeshop Sensemillia,Meer en Vaart 177B,07:00,01:00,07:00,01:00,POINT (4.80791570202679 52.3602352049547)
Max 2 Euro,Van Woustraat 159-H,07:00,01:00,07:00,03:00,POINT (4.90311310075687 52.352447521845)
Brasserie Keyzer B.V.,Van Baerlestraat 96-H,10:00,01:00,10:00,02:00,POINT (4.87921221286448 52.3568143338607)
Galerie/ Coffeeshop Yoyo,Tweede Jan van der Heijdenstraat 79-H,07:00,01:00,07:00,01:00,POINT (4.903129516776 52.356330230734)
Pasta Vino,Sumatrakade 1295,07:00,01:00,07:00,03:00,POINT (4.92558227286498 52.3794908528323)
San Giovanni,Waterlooplein 239,07:00,01:00,07:00,03:00,POINT (4.90284824344652 52.3673208917911)
Roeivereniging de Hoop,Weesperzijde 1046,07:00,01:00,07:00,03:00,POINT (4.90840705050176 52.354239583145)
Top Row Roeicentra BV,Weesperzijde 1094,07:00,01:00,07:00,03:00,POINT (4.91300568315864 52.3483262563045)
Water + Brood,Nieuwe Kerkstraat 84,07:00,01:00,07:00,03:00,POINT (4.90577522748115 52.36413323997)
Boi Boi BV,Pieter Vlamingstraat 56-H,07:00,01:00,07:00,03:00,POINT (4.92586813321239 52.3646984695789)
The Tire Station B.V.,Amstelveenseweg 5,07:00,01:00,07:00,03:00,POINT (4.85538269292435 52.3572760352597)
Vereniging Sprtpark Goed Genoeg,Beethovenstraat 801,07:00,01:00,07:00,03:00,POINT (4.87963563123233 52.3364501815908)
Bo Nam B.V.,Lange Leidsedwarsstraat 57,07:00,01:00,07:00,03:00,POINT (4.88497523527978 52.3638222525733)
Marmaris Orly Grill & Pizza,Orlyplein 159,07:00,01:00,07:00,03:00,POINT (4.83753492326649 52.3879591560022)
Smokin'Barrels,Beukenplein 22,07:00,01:00,07:00,03:00,POINT (4.91783162266092 52.3569016564904)
De Biertuin,Prinsengracht 494-H,07:00,01:00,07:00,03:00,POINT (4.88542799861048 52.3640308843485)
café restaurant 1900 BV,Hogeweg 48-H,07:00,01:00,07:00,03:00,POINT (4.93316311741696 52.354813349368)
Burgers 'n Sweets,La Guardiaweg 55,00:00,00:00,00:00,00:00,POINT (4.84129659057442 52.3902503816429)
Dagellijks Lekker BV,La Guardiaweg 57,07:00,01:00,07:00,03:00,POINT (4.84136893174663 52.3903405901043)
Holland Casino Amsterdam West,La Guardiaweg 61,07:00,03:00,07:00,03:00,POINT (4.84241561879888 52.3900398258379)
Chicago Social Club,Leidseplein 12,09:00,04:00,09:00,05:00,POINT (4.88260227159939 52.3646390334535)
MAENAAM THAI RESTAURANT,Spuistraat 90A,07:00,01:00,07:00,03:00,POINT (4.89110180539939 52.3752532749919)
La Cage,Reguliersdwarsstraat 44,07:00,01:00,07:00,03:00,POINT (4.89149640442558 52.3662134342643)
Pizza Heart,Reguliersdwarsstraat 51,07:00,03:00,07:00,04:00,POINT (4.89127397643811 52.3664102306526)
Café Kalkhoven,Prinsengracht 283,07:00,01:00,07:00,03:00,POINT (4.88342229240791 52.3738907346907)
Fan's Kitchen,Overtoom 254-H,07:00,01:00,07:00,03:00,POINT (4.86973415169976 52.3614648656954)
Dish Global Kitchen,Overtoom 255-H,07:00,01:00,07:00,03:00,POINT (4.86789374447642 52.3606659086019)
Warie's Thai Food,Rozengracht 235,07:00,03:00,07:00,04:00,POINT (4.87658392730627 52.3722077685684)
Café August Allebé,August Allebéplein 10,07:00,01:00,07:00,03:00,POINT (4.83815878422113 52.3636416353146)
Museumcafé Mokum,Sint Luciënsteeg 25A,07:00,01:00,07:00,03:00,POINT (4.89087613436898 52.3704799355436)
De Hapjeshoek,Metrostation Waterlooplein 6,07:00,03:00,07:00,04:00,POINT (4.90189392875058 52.3673169888755)
Zoku Amsterdam BV,Weesperstraat 105,07:00,01:00,07:00,03:00,POINT (4.90674658495864 52.3639124916286)
Zoku Meetings & Events BV,Weesperstraat 83,07:00,01:00,07:00,03:00,POINT (4.90646152559133 52.3644775529656)
Thaicoon,Beukenplein 10-H,07:00,01:00,07:00,03:00,POINT (4.91765291814942 52.3571436133951)
Baklava & Simit Plaza BV,Pieter Calandlaan 244A,07:00,01:00,07:00,03:00,POINT (4.79658021931528 52.3515780818099)
Coffeeshop Eastwood,Pieter Vlamingstraat 286,07:00,01:00,07:00,01:00,POINT (4.92796304827657 52.3651380070645)
Indoor Soccer Events,Rhôneweg 32,07:00,01:00,07:00,03:00,POINT (4.82634218972073 52.3902435200285)
De Stokkenbar,Sint Luciënsteeg 3,07:00,03:00,07:00,04:00,POINT (4.89149030399871 52.370707194283)
De Pannekoekkelder,Sint Luciënsteeg 15,07:00,01:00,07:00,03:00,POINT (4.8911825660405 52.3706519817623)
Marits,Andreas Bonnstraat 34-H,07:00,01:00,07:00,03:00,POINT (4.91372518507927 52.3593119706798)
Selam Afrika,Dapperstraat 94-1,07:00,01:00,07:00,03:00,POINT (4.92832883022401 52.3609961572114)
Royale Biladi Café Restaurant,Camperstraat 24-4,07:00,01:00,07:00,03:00,POINT (4.9129410494985 52.3585089411067)
Mangiaccanto,Maasstraat 8-H,07:00,01:00,07:00,03:00,POINT (4.89499224707044 52.3475248136941)
Café The Zen,Molukkenstraat 2-H,07:00,01:00,07:00,03:00,POINT (4.93927420495728 52.3659721940609)
The Coffeecompany B.V.,Mr. Treublaan 18,07:00,01:00,07:00,03:00,POINT (4.91436673058835 52.3473071074685)
Eetcafé Number One,Mosplein 1,07:00,01:00,07:00,03:00,POINT (4.9107281973636 52.3910080174692)
Bar Brandstof,Marnixstraat 357,07:00,01:00,07:00,03:00,POINT (4.87612522802922 52.3725113695942)
Bar-On & Singh C.V.,Muntplein 1,07:00,03:00,07:00,04:00,POINT (4.89379279694946 52.3669959457333)
Hortus De Overkant,Nieuwe Herengracht 71,07:00,01:00,07:00,01:00,POINT (4.90650419911301 52.3673177976031)
Wok To Walk,Leidsestraat 96A,07:00,03:00,07:00,04:00,POINT (4.8836583757084 52.364724412376)
Mc Donalds B.V.,Leidsestraat 97,07:00,03:00,07:00,04:00,POINT (4.88379203116577 52.364590166255)
Starbucks Coffee Netherlands,Leidsestraat 101,07:00,03:00,07:00,04:00,POINT (4.88355825863437 52.3644903098696)
G. Korkis h.o.d.n. New York Pizza Restau,Leidsestraat 104,07:00,03:00,07:00,04:00,POINT (4.88335160628097 52.3645882951609)
Bourbon Street,Leidsekruisstraat 8,09:00,04:00,09:00,05:00,POINT (4.88535672730493 52.3638418433627)
Toast It,Leidsekruisstraat 10-H,07:00,03:00,07:00,04:00,POINT (4.88531319319252 52.3637967211304)
Granada,Leidsekruisstraat 13,07:00,01:00,07:00,03:00,POINT (4.88535875770131 52.3636621002459)
Kopstootbar B.V.,Marnixstraat 429,07:00,01:00,07:00,03:00,POINT (4.88186029573195 52.3640426921754)
Snackbar Coja,Marathonweg 25,07:00,01:00,07:00,03:00,POINT (4.86222910410112 52.3480762629837)
Brasil Music Bar,Lange Leidsedwarsstraat 70,09:00,04:00,09:00,05:00,POINT (4.88326158433446 52.3647586766216)
Huizinga,Johan Huizingalaan 108,07:00,01:00,07:00,03:00,POINT (4.8268677298758 52.3614048136915)
Asian Taste,Johan Huizingalaan 116,07:00,01:00,07:00,03:00,POINT (4.82689034255079 52.3607757865654)
Het Scheepvaartmuseum,Kattenburgerplein 1,07:00,04:00,07:00,05:00,POINT (4.91500504968473 52.3714862388101)
Grand Cafe Rimon,Kastelenstraat 65,07:00,01:00,07:00,03:00,POINT (4.88345209148925 52.3259419163513)
Snackbar Laan van Spartaan,Jan van Galenstraat 406,07:00,01:00,07:00,03:00,POINT (4.83938089614039 52.37287755798)
Village Bagels,Vijzelstraat 137,07:00,03:00,07:00,04:00,POINT (4.89203854665308 52.3623600279861)
De Dober,Tweede van Swindenstraat 94,07:00,01:00,07:00,03:00,POINT (4.92730578879434 52.36197183702)
Eetcafé De Avonden,Middenweg 398,07:00,01:00,07:00,03:00,POINT (4.94722502914868 52.3429398614455)
The Coffee Company B.V.,Van Woustraat 153-H,07:00,00:00,07:00,01:00,POINT (4.9030673078401 52.3526091116175)
Café Bar Karadag,Van Spilbergenstraat 147-H,07:00,01:00,07:00,03:00,POINT (4.85065098417981 52.3686330249096)
SPIES,Van Woustraat 177,07:00,01:00,07:00,03:00,POINT (4.90342835887664 52.3518017017521)
&samhoud Places,Simon Carmiggeltstraat 2,07:00,01:00,07:00,03:00,POINT (4.90608414826525 52.3762766857507)
Café Krom,Utrechtsestraat 76,07:00,01:00,07:00,03:00,POINT (4.89852132684054 52.3629171977893)
Ristorante Italiano Gero,Van der Hoopstraat 31-H,07:00,01:00,07:00,03:00,POINT (4.87446140502486 52.3843497873163)
Toastable,Singel 441-O,07:00,03:00,07:00,04:00,POINT (4.89032390954978 52.3673409602353)
De Zwart,Spuistraat 334,07:00,01:00,07:00,03:00,POINT (4.88855942956824 52.3688794143268)
Grand Café Ovidius,Spuistraat 139,07:00,01:00,07:00,03:00,POINT (4.88997644837513 52.3734600368406)
The Web,Sint Jacobsstraat 6,07:00,01:00,07:00,03:00,POINT (4.89574312614556 52.3765038989943)
De Buurvrouw,Sint Pieterspoortsteeg 29,09:00,03:00,09:00,04:00,POINT (4.89450739846782 52.3714028259145)
Grand Café Noorderpark,Sneeuwbalweg 5,07:00,01:00,07:00,03:00,POINT (4.91873122594456 52.3982658475593)
Torino,Roetersstraat 10A,07:00,01:00,07:00,03:00,POINT (4.91058054962371 52.3637122674229)
Darteldome,Sportpark Kadoelen 5,07:00,01:00,07:00,03:00,POINT (4.91095924629354 52.4146550031083)
Caprese,Spuistraat 261,07:00,01:00,07:00,03:00,POINT (4.88923448358099 52.3702213996311)
TonTon Club,Sint Annendwarsstraat 6,12:00,00:00,12:00,00:00,POINT (4.8971372747911 52.37393024214)
La Brochette,Ter Kleef 1,07:00,01:00,07:00,03:00,POINT (4.86739134219811 52.3245513485355)
Mangia Da Me,Spuistraat 122-H,07:00,01:00,07:00,03:00,POINT (4.89024337266072 52.374539663038)
Mama's Kitchen,Valschermkade 19,07:00,01:00,07:00,03:00,POINT (4.84595292148292 52.3420801885355)
Blue Boy,Spuistraat 3G,07:00,01:00,07:00,03:00,POINT (4.89423869384692 52.3770908318694)
Koosje,Plantage Middenlaan 37,07:00,01:00,07:00,03:00,POINT (4.91166500825208 52.366637582146)
Sound Studio 10,Parlevinker 10,07:00,01:00,07:00,03:00,POINT (4.92205978512146 52.4115174888555)
"Café ""Parck"";""Overtoom 428-H",Café,07:00,01:00,07:00,03:00,POINT (4.86339508486282 52.3599720450538)
De Krakeling,Nieuwe Passeerdersstraat 1,00:00,00:00,00:00,00:00,POINT (4.8791170368244 52.3664216642259)
Café Aen't Water,Oudezijds Voorburgwal 2A,07:00,01:00,07:00,03:00,POINT (4.90002478130419 52.3757576276656)
FORMOSA ARGENTIJNS RESTAURANT,Nieuwezijds Kolk 16,07:00,01:00,07:00,03:00,POINT (4.89467263196942 52.3763646436949)
't Kelkje,Oudezijds Achterburgwal 164C,07:00,22:00,07:00,22:00,POINT (4.89640290899755 52.3712848622064)
The Grasshopper,Oudebrugsteeg 16B,07:00,01:00,07:00,03:00,POINT (4.89744386966782 52.3754234428481)
Stichting Hortus Botanicus A'Dam,Plantage Middenlaan 2A,07:00,01:00,07:00,01:00,POINT (4.90790245864145 52.3669999068742)
Steakhouse Pizzeria Osdorperban,Osdorper Ban 60,07:00,01:00,07:00,03:00,POINT (4.8003568909788 52.3623460762578)
Mo-Jo Amsterdam,Oosterdokskade 133,07:00,01:00,07:00,03:00,POINT (4.90771881126545 52.375851905656)
Pta-Gebouw,Piet Heinkade 27,09:00,04:00,09:00,05:00,POINT (4.91533436921035 52.3778057927354)
Restaurant Leziz,Pieter Calandlaan 945,07:00,01:00,07:00,03:00,POINT (4.79750876492178 52.3512861116347)
West Kitchen,Pieter Calandlaan 244H,07:00,01:00,07:00,03:00,POINT (4.79655038888637 52.3516138838571)
Nefis Food,Eerste Van Swindenstraat 40E,07:00,01:00,07:00,03:00,POINT (4.92630484211173 52.3622285886037)
Kleincafe,Daniël Stalpertstraat 36-H,12:00,01:00,12:00,03:00,POINT (4.88852559879893 52.35619778743)
Asmara,Jonas Daniël Meijerplein 8,07:00,01:00,07:00,03:00,POINT (4.90423311768924 52.3668861511659)
WG Café,Marius van Bouwdijk Bastiaansestraat 52,07:00,01:00,07:00,03:00,POINT (4.87051865097847 52.3634365714957)
FEBO Daniël Goedkoopstraat,Daniël Goedkoopstraat 13B,07:00,01:00,07:00,03:00,POINT (4.92221619488442 52.3348813299403)
The Avocado Show,Daniël Stalpertstraat 61-H,07:00,01:00,07:00,03:00,POINT (4.88986009618034 52.3563112456151)
Ten Zuiden Van Oresti's taverna,Daniël Stalpertstraat 93-H,12:00,01:00,12:00,03:00,POINT (4.89171074077859 52.3562111451762)
Gollem Proeflokaal,Daniël Stalpertstraat 74-H,07:00,01:00,07:00,03:00,POINT (4.890875596103 52.3560728370463)
Scheepskameel B.V.,Kattenburgerstraat 5,07:00,01:00,07:00,03:00,POINT (4.91627924508682 52.371796883786)
Sotto Pizza III,Kadijksplein 4,07:00,01:00,07:00,03:00,POINT (4.9119223870421 52.3700269242942)
Rembrandts Bridge B.V.,Jodenbreestraat 2,07:00,01:00,07:00,03:00,POINT (4.9011810727487 52.3693991836898)
Suvarnaphum,Johan Huizingalaan 250,07:00,01:00,07:00,03:00,POINT (4.82698308962158 52.3545837433805)
Sportpark,Jan van Galenstraat 132,07:00,01:00,07:00,03:00,POINT (4.85775802103311 52.374749569813)
Nyonya Malaysia Express,Kloveniersburgwal 38-H,07:00,03:00,07:00,04:00,POINT (4.89860517134512 52.3713119338073)
Daktheater Opzeezand,Johan van Hasseltweg 39,07:00,01:00,07:00,03:00,POINT (4.92789769479714 52.3856562945201)
Broodje Tip-Top,Kastelenstraat 71,07:00,01:00,07:00,03:00,POINT (4.8828800363222 52.3259394825897)
Orloff Amsterdam B.V.,Kadijksplein 11,07:00,01:00,07:00,03:00,POINT (4.91238963867938 52.3702714606133)
Club Lite,Jan van Galenstraat 24B,07:00,01:00,07:00,03:00,POINT (4.86508826259111 52.3757886826076)
Restaurant Spaghetteria West,Jan Hanzenstraat 32,07:00,01:00,07:00,03:00,POINT (4.86630771937787 52.3682265054119)
Snackbar Yvonne,Karel Doormanstraat 141,07:00,01:00,07:00,03:00,POINT (4.85760186351791 52.3792246831989)
Portofino,Kloveniersburgwal 131,07:00,01:00,07:00,03:00,POINT (4.89649669039745 52.3681126398737)
Basjoe,Kloveniersburgwal 62-H,07:00,01:00,07:00,01:00,POINT (4.89735679877719 52.3700035858381)
Studio 2,Singel 504,07:00,01:00,07:00,03:00,POINT (4.89046187422437 52.3668202590629)
Le Traffic,Stadionweg 255-H,07:00,01:00,07:00,03:00,POINT (4.85902045599892 52.3451500113248)
Axum,Utrechtsedwarsstraat 85A,07:00,01:00,07:00,03:00,POINT (4.89978315428621 52.361646156516)
Atelier Schinkel B.V.,Valschermkade 16,09:00,03:00,09:00,04:00,POINT (4.84381094526486 52.342043423608)
Pico Bello Horeca & Events BV,Valeriusstraat 85-H,11:00,01:00,11:00,03:00,POINT (4.86923192881601 52.3541737213382)
Kenichi V.O.F. Peninsula,Tussen Meer 85A,07:00,01:00,07:00,03:00,POINT (4.80044274030944 52.3580683804082)
Febo,Tussen Meer 85D,07:00,01:00,07:00,03:00,POINT (4.80023795336316 52.3580134407037)
Café 't Mannetje,Tweede Marnixplantsoen 1-H,07:00,01:00,07:00,03:00,POINT (4.87661218302199 52.3748592228566)
