ZAAKNAAM,ADRES,OPENINGSTIJDEN_ZO_DO_VAN,OPENINGSTIJDEN_ZO_DO_TOT,OPENINGSTIJDEN_VR_ZA_VAN,OPENINGSTIJDEN_VR_ZA_TOT,LOCATIE_WKT
Restaurant Blauw /Gili Amsterdam B.V.,Amstelveenseweg 160-H,07:00,01:00,07:00,03:00,POINT (4.8556929107128 52.3534307239113)
Samar,Bos en Lommerweg 74,07:00,01:00,07:00,03:00,POINT (4.85528565652391 52.3825487021892)
Speciaal Bakker Nol Bertram,Bos en Lommerweg 285,07:00,01:00,07:00,03:00,POINT (4.84970982073153 52.3784611797006)
Frank & Lydia,Bos en Lommerweg 156,07:00,01:00,07:00,03:00,POINT (4.85404623138842 52.3805748598804)
Lezzet Grillroom,Bos en Lommerweg 251,07:00,01:00,07:00,03:00,POINT (4.85076499469095 52.3786457093408)
't Binnepretje,Bos en Lommerweg 133,07:00,01:00,07:00,03:00,POINT (4.85603300018815 52.381464557165)
Automatiek 't Puntje,Buikslotermeerplein 160,07:00,01:00,07:00,03:00,POINT (4.93701077682586 52.3980760061893)
Restaurant Zina,Bosboom Toussaintstraat 70-H,07:00,01:00,07:00,03:00,POINT (4.8743743668436 52.365178931369)
Tapasbar Narbonne,Bosboom Toussaintstraat 28-H,07:00,01:00,07:00,03:00,POINT (4.87614487604712 52.3656988696132)
Restaurant de Italiaan,Bosboom Toussaintstraat 29-H,07:00,01:00,07:00,03:00,POINT (4.87639662622399 52.3655112152967)
Favori Café Restaurant,Buikslotermeerplein 234,07:00,01:00,07:00,03:00,POINT (4.93839464152365 52.3978026394612)
Eype Snacks,Burgemeester De Vlugtlaan 73,07:00,00:00,07:00,00:00,POINT (4.8312488644891 52.3796702761736)
Café La Rosa,Buikslotermeerplein 11,07:00,01:00,07:00,03:00,POINT (4.93530262034399 52.3998939672126)
Vereniging Modestraat,Buikslotermeerplein 15,07:00,01:00,07:00,03:00,POINT (4.93561281093959 52.3997333741963)
Siberie B.V.,Brouwersgracht 11-H,07:00,01:00,07:00,01:00,POINT (4.89297026667361 52.3789010361033)
Café Zomerlust,Burgemeester De Vlugtlaan 156,07:00,01:00,07:00,03:00,POINT (4.82391464093179 52.3812714053231)
De Vrouw met de Baard,Buiten Brouwersstraat 19-H,07:00,01:00,07:00,03:00,POINT (4.89131989558272 52.3807096295506)
Multi-Vlaai,Buikslotermeerplein 531,07:00,01:00,07:00,03:00,POINT (4.94142063209862 52.3978679770264)
Brasserie Roezemoes,Buikslotermeerplein 533,07:00,01:00,07:00,03:00,POINT (4.94130264517461 52.3979124708478)
Havzan Restaurant,Burgemeester De Vlugtlaan 97,07:00,01:00,07:00,03:00,POINT (4.82977747360619 52.3798880583633)
Göreme Restaurant,Burgemeester De Vlugtlaan 162,07:00,01:00,07:00,03:00,POINT (4.82357605933457 52.3813327096826)
V.O.F. Restaurant Wong Kee,Buikslotermeerplein 391,07:00,01:00,07:00,03:00,POINT (4.94152176066833 52.3980391191122)
Café ONS B.V.,Buiksloterweg 27,07:00,01:00,07:00,03:00,POINT (4.90683008418885 52.3847010297898)
Restaurant Konak,Burgemeester De Vlugtlaan 81,07:00,01:00,07:00,03:00,POINT (4.83071939065615 52.3797307057587)
"Snooker, Biljart en Poolc""Boven 't IJ"";""Buikslotermeerplein 145",Café,07:00,01:00,07:00,03:00,POINT (4.93752912461059 52.3991205197287)
Banketbakkerij Kwekkeboom,Buikslotermeerplein 152,07:00,01:00,07:00,03:00,POINT (4.93739449931533 52.397906700116)
By Kebapci,Burgemeester De Vlugtlaan 53,07:00,01:00,07:00,03:00,POINT (4.83274983670713 52.3794346389269)
Golf Service Waterland-Amsterdam B.V,Buikslotermeerdijk 141,07:00,01:00,07:00,03:00,POINT (4.94223078140832 52.4093839558976)
De Belhamel,Brouwersgracht 60A,07:00,01:00,07:00,03:00,POINT (4.89203926321627 52.3794184294807)
Grillhouse Zion,Burgemeester Fockstraat 54,07:00,01:00,07:00,03:00,POINT (4.83281574809055 52.3800371150369)
Mei Wah Restaurant,Buikslotermeerplein 102,07:00,01:00,07:00,03:00,POINT (4.93652448092323 52.3982179588561)
T.O. Sandwiches / Subway,Buikslotermeerplein 204,07:00,01:00,07:00,03:00,POINT (4.93860875151159 52.3984235853104)
Le Rendez Vous Catering & Party Service,Bok de Korverweg 6,07:00,01:00,07:00,03:00,POINT (4.78640019804107 52.3782741611329)
"A.S.V. ""Germaan/De Eland"";""Bok de Korverweg 8",Additionele horeca,07:00,01:00,07:00,03:00,POINT (4.78488933371325 52.3781406703727)
Taytu Restaurant,Blasiusstraat 62-H,07:00,01:00,07:00,03:00,POINT (4.90981975936368 52.3566359807923)
Chinees Restaurant Chengdu,Bogortuin 2,07:00,01:00,07:00,03:00,POINT (4.936251869758 52.3773299708996)
AAC - Rugby,Bok de Korverweg 6A,07:00,01:00,07:00,03:00,POINT (4.78615286123787 52.37810214307)
Restaurant Divino,Boomstraat 41A,07:00,23:00,07:00,23:00,POINT (4.88464090955256 52.3790997015088)
Mike's Badhuistheater,Boerhaaveplein 28,07:00,01:00,07:00,03:00,POINT (4.91275405859362 52.3595237893839)
Westpoort Lunch,Bolstoen 4A,07:00,01:00,07:00,03:00,POINT (4.78783836570028 52.3914123224939)
All Sports Horeca BV-Sportcafe Zuid,Burgerweeshuispad 54,07:00,01:00,07:00,01:00,POINT (4.8541076030083 52.3399780889741)
Sranant Food,Ceintuurbaan 432-H,07:00,01:00,07:00,03:00,POINT (4.9026148252542 52.3550698643988)
Wijnbar Paulus,Ceintuurbaan 348-2,07:00,01:00,07:00,03:00,POINT (4.89428543986872 52.3530312818519)
Griekse Traiterie Romios,Ceintuurbaan 350-H,07:00,01:00,07:00,03:00,POINT (4.89437330274085 52.3530496224379)
SLA Ceintuur B.V.,Ceintuurbaan 149-H,07:00,01:00,07:00,03:00,POINT (4.89372471868635 52.3532985767256)
Wok Huis,Ceintuurbaan 195-H,07:00,00:00,07:00,03:00,POINT (4.90158699200401 52.3551016080342)
Surya B.V.,Ceintuurbaan 147-H,07:00,01:00,07:00,03:00,POINT (4.89365143289394 52.3532892839683)
Yum Yum,Ceintuurbaan 326-H,07:00,01:00,07:00,03:00,POINT (4.89339133925764 52.3529197087834)
Samba Kitchen C.V.,Ceintuurbaan 63-H,07:00,01:00,07:00,03:00,POINT (4.88960648727176 52.3527421022659)
Cafe Cees,Ceintuurbaan 206-H,07:00,01:00,07:00,03:00,POINT (4.88773420401564 52.352168007611)
Café Foeders,Ceintuurbaan 257-H,07:00,01:00,07:00,03:00,POINT (4.90446864480937 52.3560211265622)
Eethuis Ceintuur,Ceintuurbaan 236-H,07:00,01:00,07:00,03:00,POINT (4.88896523650101 52.3523349659398)
Restaurant Jaspers,Ceintuurbaan 196-H,07:00,01:00,07:00,03:00,POINT (4.88732386191674 52.352112351997)
Sarphaat BV,Ceintuurbaan 157A,07:00,01:00,07:00,03:00,POINT (4.8992612269314 52.3543640607353)
Fasty Burgers,Ceintuurbaan 193-H,07:00,01:00,07:00,03:00,POINT (4.90149922032151 52.3550742855984)
Subway,Ceintuurbaan 93-H,07:00,01:00,07:00,03:00,POINT (4.89143839692616 52.3529924444421)
Par Hasard B.V.,Ceintuurbaan 113-H,12:00,01:00,07:00,03:00,POINT (4.89225900868434 52.3531127129828)
Chinees Afhaalcentrum Kam Kee,Ceintuurbaan 119A,07:00,01:00,07:00,03:00,POINT (4.89249344142037 52.3531496421488)
Train Lodge,Changiweg 120,07:00,01:00,07:00,03:00,POINT (4.84164327731499 52.3883376280461)
Stichting Amsterdams Filmhuis Rialto,Ceintuurbaan 338,07:00,01:00,07:00,03:00,POINT (4.89388965878792 52.3529846971708)
Restaurant Sinne BV,Ceintuurbaan 342-H,07:00,01:00,07:00,03:00,POINT (4.89405080679369 52.3530123306057)
Indonesisch Spec. Restaurant Desa,Ceintuurbaan 103-H,07:00,01:00,07:00,03:00,POINT (4.89186342937171 52.353048147168)
CousCous Club,Ceintuurbaan 346-H,07:00,01:00,07:00,03:00,POINT (4.89421205469932 52.3530309766313)
Pizzataxi da Paolo e Seba,Ceintuurbaan 121-H,07:00,01:00,07:00,03:00,POINT (4.89258150384024 52.353150009684)
Speeltuinvereniging Jacob Maris,Columbusplein 253,07:00,01:00,07:00,03:00,POINT (4.85528178178137 52.3657059599986)
Sapporo Ramen Sora,Ceintuurbaan 49-H,07:00,01:00,07:00,03:00,POINT (4.88871240432937 52.3526304939467)
Market 33,Claude Debussylaan 33,08:00,22:00,08:00,23:00,POINT (4.87121873098324 52.3372856319252)
