ZAAKNUMMER,ZAAKNAAM,ADRES,ZAAK_CATEGORIE,ZAAK_SPECIFICATIE,BEGINDATUM,EINDDATUM,OPENINGSTIJDEN_ZO_DO_VAN,OPENINGSTIJDEN_ZO_DO_TOT,OPENINGSTIJDEN_VR_ZA_VAN,OPENINGSTIJDEN_VR_ZA_TOT,O_TIJDEN_TERRAS_ZO_DO_VAN,O_TIJDEN_TERRAS_ZO_DO_TOT,O_TIJDEN_TERRAS_VR_ZA_VAN,O_TIJDEN_TERRAS_VR_ZA_TOT,VERLENGING_SLUITINGSTIJD_1,VERLENGING_SLUITINGSTIJD_2,VERLENGING_SLUITINGSTIJD_3,VERLENGING_SLUITINGSTIJD_4,VERLENGING_SLUITINGSTIJD_5,VERLENGING_SLUITINGSTIJD_6,VERLENGING_SLUITINGSTIJD_7,VERLENGING_SLUITINGSTIJD_8,VERLENGING_SLUITINGSTIJD_9,VERLENGING_SLUITINGSTIJD_10,ONTHEFFING_GELUIDSVOORSCHR_1,ONTHEFFING_GELUIDSVOORSCHR_2,ONTHEFFING_GELUIDSVOORSCHR_3,ONTHEFFING_GELUIDSVOORSCHR_4,ONTHEFFING_GELUIDSVOORSCHR_5,LOCATIE_WKT,TERRASGEOMETRIE_WKT,STADSDEEL,STATUS_VERGUNNING
979,Coffeeshop Terminator,Admiraal De Ruijterweg 104-H,Coffeeshop,Specificatie n.v.t.,2016-04-01 00:00:00.0,2019-04-01 00:00:00.0,07:00,01:00,07:00,01:00,,,,,,,,,,,,,,,,,,,,POINT (4.85942870238014 52.3725640488964),,West,Verleend
13089,TAKE A BITE,Admiraal De Ruijterweg 221-H,Alcoholvrij,Broodjeszaak,2015-06-17 00:00:00.0,2018-07-01 00:00:00.0,07:00,01:00,07:00,01:00,07:00,01:00,07:00,01:00,,,,,,,,,,,,,,,,POINT (4.85756691602945 52.3772292868031),,West,Verleend
9758,Buon Giorno Espresso Bar,Admiraal De Ruijterweg 27,Alcoholvrij,Onbekend,2016-04-01 00:00:00.0,2019-04-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,01:00,07:00,01:00,,,,,,,,,,,,,,,,POINT (4.86309203715577 52.3707288573349),,West,Verleend
7798,De Fluiter,Admiraal De Ruijterweg 270,Café,Café,2016-07-01 00:00:00.0,2019-07-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,01:00,07:00,01:00,,,,,,,,,,,,,,,,POINT (4.85685225325421 52.3792752583003),,West,Verleend
13064,Food2share,Admiraal De Ruijterweg 273A,Eethuis,Specificatie n.v.t.,2017-01-01 00:00:00.0,2020-01-01 00:00:00.0,07:00,01:00,07:00,03:00,,,,,,,,,,,,,,,,,,,,POINT (4.8566655274041 52.378923907882),,West,Verleend
14871,Oko Cultural Melting Point,Admiraal De Ruijterweg 331-H,Culturele Horeca,Horeca VI,2017-12-01 00:00:00.0,2020-12-01 00:00:00.0,07:00,01:00,07:00,03:00,,,,,,,,,,,,,,,,,,,,POINT (4.85405789626541 52.380826564157),,West,Verleend
13124,Vegan House,Admiraal De Ruijterweg 334A,Fastfood,Snackbar,2018-04-01 00:00:00.0,2023-04-01 00:00:00.0,07:00,01:00,07:00,03:00,,,,,,,,,,,,,,,,,,,,POINT (4.85443757938526 52.3810080218901),,West,Verleend
863,Toko Betawi,Admiraal De Ruijterweg 337-H,Restaurant,Specificatie n.v.t.,2016-05-01 00:00:00.0,2019-05-01 00:00:00.0,07:00,01:00,07:00,03:00,,,,,,,,,,,,,,,,,,,,POINT (4.85382119091238 52.3809693007394),,West,Verleend
13809,Café Treffers,Admiraal De Ruijterweg 38,Café,Eetcafé,2016-05-01 00:00:00.0,2019-05-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,01:00,07:00,01:00,,,,,,,,,,,,,,,,POINT (4.86316205836623 52.3710167694907),,West,Verleend
247,Restaurant  Mehtab,Admiraal De Ruijterweg 39-H,Restaurant,Specificatie n.v.t.,2016-05-01 00:00:00.0,2019-05-01 00:00:00.0,07:00,01:00,07:00,03:00,,,,,,,,,,,,,,,,,,,,POINT (4.86251781489797 52.3708611313056),,West,Verleend
14040,Restaurant Florence,Admiraal De Ruijterweg 396-H,Restaurant,Specificatie n.v.t.,2016-09-01 00:00:00.0,2019-09-01 00:00:00.0,07:00,01:00,07:00,03:00,,,,,,,,,,,,,,,,,,,,POINT (4.85146527067369 52.3826842928733),,West,Verleend
13465,LUNCHROOM JUICE BROTHERS,Admiraal De Ruijterweg 4,Alcoholvrij,Lunchroom,2015-12-21 00:00:00.0,2019-01-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,01:00,07:00,01:00,,,,,,,,,,,,,,,,POINT (4.86444507781332 52.3705460915971),,West,Verleend
14038,Bar Roseval,Admiraal De Ruijterweg 404-H,Café,Eetcafé,2016-09-01 00:00:00.0,2019-09-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,01:00,07:00,01:00,,,,,,,,,,,,,,,,POINT (4.85108135364663 52.3828533215192),,West,Verleend
14723,Hapli,Admiraal De Ruijterweg 450-H,Restaurant,Specificatie n.v.t.,2017-11-01 00:00:00.0,2020-11-01 00:00:00.0,07:00,01:00,07:00,03:00,,,,,,,,,,,,,,,,,,,,POINT (4.84830572962489 52.3840360865278),,West,Verleend
11551,Yang Ming,Admiraal De Ruijterweg 464,Restaurant,Specificatie n.v.t.,2016-04-01 00:00:00.0,2019-04-01 00:00:00.0,07:00,01:00,07:00,03:00,,,,,,,,,,,,,,,,,,,,POINT (4.84801013063933 52.3841875314346),,West,Verleend
13411,La Casa De Michael,Admiraal De Ruijterweg 535,Restaurant,Specificatie n.v.t.,2015-10-28 00:00:00.0,2018-11-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,01:00,07:00,01:00,,,,,,,,,,,,,,,,POINT (4.84698049345194 52.3843086713812),,West,Verleend
14348,Café Partisan,Admiraal De Ruijterweg 79,Café,Eetcafé,2017-05-12 00:00:00.0,2020-05-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,23:00,07:00,23:00,,,,,,,,,,,,,,,,POINT (4.85966282987968 52.3713967051533),,West,Verleend
10593,Café Ulfet 2,Admiraal De Ruijterweg 83-H,Café,Café,2014-08-01 00:00:00.0,2019-08-01 00:00:00.0,09:00,03:00,09:00,04:00,,,,,,,,,,,,,,,,,,,,POINT (4.85945758776201 52.3713688290164),,West,Verleend
12147,Café Kontakt,Admiraal De Ruijterweg 92-H,Café,Café,2018-01-01 00:00:00.0,2021-01-01 00:00:00.0,07:00,01:00,07:00,03:00,,,,,,,,,,,,,,,,,,,,POINT (4.85961152194715 52.3720076324877),,West,Verleend
310,Restaurant en Eetcafé Pamukkale,Admiraal De Ruijterweg 96-H,Restaurant,Specificatie n.v.t.,2018-01-01 00:00:00.0,2021-01-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,01:00,07:00,01:00,,,,,,,,,,,,,,,,POINT (4.85956576410723 52.3721512301778),,West,Verleend
11119,Kentucky Fried Chicken,Admiraal Helfrichstraat 6A,Fastfood,Fastfood restaurant,2015-09-01 00:00:00.0,2020-09-01 00:00:00.0,07:00,01:00,07:00,03:00,,,,,,,,,,,,,,,,,,,,POINT (4.8454195444364 52.3713953890571),,West,Verleend
14901,Coffee Company Admiralengracht B.V.,Admiralengracht 5,Alcoholvrij,Koffiehuis,2017-11-01 00:00:00.0,2020-11-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,23:00,07:00,23:00,,,,,,,,,,,,,,,,POINT (4.85759572165094 52.3649613611878),,West,Verleend
1194,Parie,Afrikanerplein 14,Eethuis,Specificatie n.v.t.,2015-07-01 00:00:00.0,2020-07-01 00:00:00.0,07:00,01:00,07:00,03:00,,,,,,,,,,,,,,,,,,,,POINT (4.91659953347576 52.3526546291909),,Oost,Verleend
6048,Japans Restaurant Umeno,Agamemnonstraat 27,Restaurant,Specificatie n.v.t.,2016-01-29 00:00:00.0,2021-04-01 00:00:00.0,07:00,01:00,07:00,03:00,,,,,,,,,,,,,,,,,,,,POINT (4.86379661252101 52.344578016637),,Zuid,Verleend
5796,Erno's 1 (Lunchroom),Agatha Christiesingel 129,Alcoholvrij,Lunchroom,2015-07-01 00:00:00.0,2020-07-01 00:00:00.0,07:00,01:00,07:00,03:00,,,,,,,,,,,,,,,,,,,,POINT (4.94295520571846 52.3223422694075),,Zuidoost,Verleend
14972,Cafe F,Agatha Dekenstraat 39-H,Café,Café,2018-03-01 00:00:00.0,2021-03-01 00:00:00.0,07:00,01:00,07:00,03:00,,,,,,,,,,,,,,,,,,,,POINT (4.86703308464407 52.3689756597831),,West,Verleend
13303,Bubbel Lounge,Agatha Dekenstraat 40-H,Café,Café,2018-06-01 00:00:00.0,2021-06-01 00:00:00.0,07:00,01:00,07:00,03:00,,,,,,,,,,,,,,,,,,,,POINT (4.86691920559227 52.3686695821958),,West,Verleend
13167,Lounge Café L.A.,Agatha Dekenstraat 50-H,Café,Café,2015-07-08 00:00:00.0,2018-07-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,23:00,07:00,23:00,,,,,,,,,,,,,,,,POINT (4.86703929369274 52.3684454194971),,West,Verleend
8839,Restaurant Syriana,Akersluis 8A,Restaurant,Specificatie n.v.t.,2015-07-17 00:00:00.0,2018-07-17 00:00:00.0,07:00,01:00,07:00,03:00,,,,,,,,,,,,,,,,,,,,POINT (4.79268499113048 52.3421305279463),,Nieuw-West,Verleend
13876,"Syriana (8a, b, c)",Akersluis 8C,Zalenverhuur,Specificatie n.v.t.,2017-01-10 00:00:00.0,2020-01-10 00:00:00.0,07:00,01:00,07:00,03:00,07:00,01:00,07:00,02:00,,,,,,,,,,,,,,,,POINT (4.79269954419739 52.3421395886425),,Nieuw-West,Verleend
9694,Naz Food I,Albert Camuslaan 117,Restaurant,Specificatie n.v.t.,2018-01-01 00:00:00.0,2023-01-01 00:00:00.0,07:00,01:00,07:00,03:00,,,,,,,,,,,,,,,,,,,,,,Zuidoost,Verleend
14932,Bar Toko,Albert Cuypstraat 124-H,Café,Eetcafé,2017-11-21 00:00:00.0,2021-02-01 00:00:00.0,07:00,01:00,07:00,03:00,,,,,,,,,,,,,,,,,,,,POINT (4.89261670687476 52.3552622433819),,Zuid,Verleend
4812,Café de Groene Vlinder,Albert Cuypstraat 130A-H,Café,Café,2014-12-22 00:00:00.0,2018-08-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,00:00,07:00,01:00,,,,,,,,,,,,,,,,POINT (4.8929241402704 52.3553354266374),,Zuid,Verleend
5085,Eethuisje Wan Pipel,Albert Cuypstraat 140A,Eethuis,Specificatie n.v.t.,2015-12-30 00:00:00.0,2019-04-01 00:00:00.0,07:00,01:00,07:00,03:00,,,,,,,,,,,,,,,,,,,,POINT (4.89381778931093 52.3554919391398),,Zuid,Verleend
